text,entities,predicted_entities
Sebutkan nama dosen dengan nomor induk pegawai mengandung angka 001 dan berjenis kelamin pria,"['{entity : nip, value : mengandung angka 001}', '{entity : gender, value : pria}']","['{entity : nip, value : angka 001, confidence : 0.46512940526008606}', '{entity : gender, value : pria, confidence : 0.9983306527137756}']"
Temukan nama dosen yang memiliki NIP 909231902,"['{entity : nip, value : 909231902}']","['{entity : nim, value : 909231902, confidence : 0.5145168900489807}']"
tampilkan data mahasiswa dengan nomor induk mahasiswa yaitu 09021181823168,"['{entity : nim, value : 09021181823168}']","['{entity : angkatan, value : 09021181823168, confidence : 0.5445680022239685}']"
"tampilkan nama, angkatan, dan program studi mahasiswa dengan nomor induk mahasiswa diakhiri angka 20 dan tahun angkatan dibawah 2018","['{entity : nim, value : diakhiri angka 20}', '{entity : angkatan, value : angkatan dibawah 2018}']","['{entity : angkatan, value : angkatan, confidence : 0.543178915977478}', '{entity : prodi, value : program, confidence : 0.6988584995269775}', '{entity : nim, value : diakhiri angka 20, confidence : 0.44}', '{entity : angkatan, value : angkatan dibawah 2018, confidence : 0.712101936340332}']"
Tampilkan mahasiswa teknik informatika angkatan 2017,"['{entity : angkatan, value : angkatan 2017}']","['{entity : jurusan, value : teknik informatika, confidence : 0.7930788993835449}', '{entity : angkatan, value : angkatan 2017, confidence : 0.6774270534515381}']"
siapa nama mahasiswa dan tahun angkatan dengan nim 09021281823057,"['{entity : nim, value : nim 09021281823057}']","['{entity : angkatan, value : angkatan, confidence : 0.9418923258781433}', '{entity : nim, value : nim 09021281823057, confidence : 0.66}']"
lihat mahasiswa yang nimnya 10113005,"['{entity : nim, value : 10113005}']","['{entity : angkatan, value : 10113005, confidence : 0.444848895072937}']"
Tampilkan daftar nama mahasiswa dengan jurusan berakhiran kata Informatika dan program studi Reguler dan tahun angkatan 2015,"['{entity : jurusan, value : Informatika}', '{entity : prodi, value : program studi Reguler}', '{entity : angkatan, value : angkatan 2015}']","['{entity : nama_mahasiswa, value : berakhiran, confidence : 0.5120871067047119}', '{entity : nama_mahasiswa, value : kata Informatika, confidence : 0.62}', '{entity : prodi, value : program studi Reguler, confidence : 0.6802804470062256}', '{entity : angkatan, value : angkatan 2015, confidence : 0.774005651473999}']"
tampilkan nama dan nilai suliet dari mahasiswa urutkan berdasarkan nilai suliet meningkat,[],"['{entity : order_by_desc, value : berdasarkan, confidence : 0.5351078510284424}']"
Berikan daftar nama mahasiswa yang berjenis kelamin perempuan angkatan 2020,"['{entity : gender, value : perempuan}', '{entity : angkatan, value : 2020}']","['{entity : gender, value : perempuan, confidence : 0.998894989490509}', '{entity : angkatan, value : angkatan 2020, confidence : 0.7347033023834229}']"
sebutkan nama mata kuliah pada semester 6 urutkan berdasarkan nama dan batasi 9 data secara unik,"['{entity : semester, value : semester 6}', '{entity : order_by, value : berdasarkan nama}', '{entity : limit_unique, value : batasi 9}']","['{entity : semester, value : semester 6, confidence : 0.67}', '{entity : order_by_desc, value : berdasarkan nama, confidence : 0.567335844039917}', '{entity : limit, value : batasi 9, confidence : 0.6}']"
tampilkan nama matakuliah dengan kode diakhiri angka 10 batasi 2 data,"['{entity : kode, value : angka 10}', '{entity : limit, value : batasi 2}']","['{entity : nim, value : diakhiri, confidence : 0.640540599822998}', '{entity : angkatan, value : angka 10, confidence : 0.4584066569805145}', '{entity : limit, value : batasi 2, confidence : 0.62}']"
tampilkan nama dosen dengan nama diawali huruf a dan nip diawali angka 1 urutkan berdasarkan nip batasi 5 data secara unik,"['{entity : nama_dosen, value : diawali huruf a}', '{entity : nip, value : diawali angka 1}', '{entity : order_by, value : berdasarkan nip}', '{entity : limit_unique, value : batasi 5}']","['{entity : nama_dosen, value : diawali huruf a, confidence : 0.5647984743118286}', '{entity : order_by, value : nip, confidence : 0.41268157958984375}', '{entity : nip, value : diawali angka 1, confidence : 0.5698027014732361}', '{entity : order_by_desc, value : berdasarkan nip, confidence : 0.52}', '{entity : limit, value : batasi 5, confidence : 0.55}']"
temukan data dosen urutkan berdasarkan nip meningkat nama menurun,"['{entity : order_by_desc, value : berdasarkan nip}', '{entity : nama_dosen, value : nama}']","['{entity : order_by_desc, value : berdasarkan nip, confidence : 0.606456995010376}', '{entity : order_by_desc, value : nama, confidence : 0.45261573791503906}']"
tampilkan nama mahasiswa secara unik yang memiliki nim berawalan 090210 atau nim berawalan 090211 dan angkatan 2018 atau angkatan diatas angkatan 2019 dengan jenis kelamin laki laki batasi 5 data urutkan berdasarkan nim,"['{entity : nim, value : berawalan 090210}', '{entity : condition, value : or}', '{entity : nim, value : berawalan 090211}', '{entity : condition, value : and}', '{entity : angkatan, value : angkatan 2018}', '{entity : condition, value : or}', '{entity : condition, value : more than}', '{entity : angkatan, value : angkatan 2019}', '{entity : gender, value : laki laki}', '{entity : limit, value : batasi 5}', '{entity : order_by, value : berdasarkan nim}']","['{entity : nim, value : nim, confidence : 0.37718063592910767}', '{entity : nim, value : berawalan 090210, confidence : 0.66}', '{entity : condition, value : or, confidence : 0.9984847903251648}', '{entity : nim, value : berawalan 090211, confidence : 0.66}', '{entity : condition, value : and, confidence : 0.7443481087684631}', '{entity : angkatan, value : angkatan 2018, confidence : 0.6794325709342957}', '{entity : condition, value : or, confidence : 0.9978415966033936}', '{entity : angkatan, value : angkatan, confidence : 0.9573026895523071}', '{entity : condition, value : more than, confidence : 0.9986540079116821}', '{entity : angkatan, value : angkatan 2019, confidence : 0.6269136667251587}', '{entity : gender, value : laki laki, confidence : 0.5351667404174805}', '{entity : limit, value : batasi 5, confidence : 0.61}', '{entity : order_by, value : berdasarkan nim, confidence : 0.5766934156417847}']"
