text,entities,predicted_entities
tampilkan Satuan Kredit Semester mata kuliah dengan nama yang mengandung kata kripto,"['{entity : mata_kuliah, value : kripto}']","['{entity : mata_kuliah, value : kripto, confidence : 0.9975608587265015}']"
tampilkan sks dan kode mata kuliah dengan nama Technopreneurship,"['{entity : mata_kuliah, value : Technopreneurship}']","['{entity : mata_kuliah, value : Technopreneurship, confidence : 0.9982454776763916}']"
"tampilkan sks, kode, dan nama dari mata kuliah dengan kode yang diawali huruf FIK","['{entity : kode, value : Fakultas Ilmu Komputer}']","['{entity : kode, value : Fakultas Ilmu Komputer, confidence : 0.9893050193786621}']"
tolong cari kode dari mata kuliah dengan nama kalkulus,"['{entity : mata_kuliah, value : kalkulus}']","['{entity : mata_kuliah, value : kalkulus, confidence : 0.9985713958740234}']"
Berapa jumlah SKS untuk mata kuliah dengan nama kalkulus ?,"['{entity : mata_kuliah, value : kalkulus}']","['{entity : mata_kuliah, value : kalkulus, confidence : 0.998559296131134}']"
Temukan kode mata kuliah dengan nama kalkulus,"['{entity : mata_kuliah, value : kalkulus}']","['{entity : mata_kuliah, value : kalkulus, confidence : 0.9983614087104797}']"
Temukan kode mata kuliah dengan nama Probabilitas dan Statistika,"['{entity : mata_kuliah, value : Probabilitas dan Statistika}']","['{entity : mata_kuliah, value : Probabilitas dan Statistika, confidence : 0.7453268766403198}']"
Tampilkan sks pada mata kuliah dengan nama kalkulus,"['{entity : mata_kuliah, value : kalkulus}']","['{entity : mata_kuliah, value : kalkulus, confidence : 0.9984252452850342}']"
Sebutkan kode dari mata kuliah pengolahan citra,"['{entity : mata_kuliah, value : pengolahan citra}']","['{entity : mata_kuliah, value : pengolahan citra, confidence : 0.9857940077781677}']"
sebutkan mata kuliah pilihan pada semester 5,"['{entity : semester, value : semester 5}']","['{entity : semester, value : semester 5, confidence : 0.67}']"
sebutkan mata kuliah pilihan pada semester 7,"['{entity : semester, value : semester 7}']","['{entity : semester, value : semester 7, confidence : 0.67}']"
"sebutkan nama, dan sks mata kuliah pilihan pada semester 2","['{entity : semester, value : semester 2}']","['{entity : semester, value : semester 2, confidence : 0.67}']"
Apa saja mata kuliah pilihan yang bisa diambil pada semester 6 ?,"['{entity : semester, value : semester 6}']","['{entity : semester, value : semester 6, confidence : 0.67}']"
Apa nama dan sks mata kuliah dengan kode FIK20022 ?,"['{entity : kode, value : FIK20022}']","['{entity : kode, value : FIK20022, confidence : 0.998035728931427}']"
Apa nama mata kuliah dengan kode FIK23222 ?,"['{entity : kode, value : FIK23222}']","['{entity : kode, value : FIK23222, confidence : 0.99735426902771}']"
