text,intent,intent_prediction
start,start,"[{'name': 'start', 'confidence': 0.9999459981918335}, {'name': 'start', 'confidence': 0.9999459981918335}]"
/start,start,"[{'name': 'start', 'confidence': 0.9999459981918335}, {'name': 'start', 'confidence': 0.9999459981918335}]"
tampilkan Satuan Kredit Semester mata kuliah dengan nama yang mengandung kata kripto,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
tampilkan sks dan kode mata kuliah dengan nama Technopreneurship,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999998807907104}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999998807907104}]"
"tampilkan sks, kode, dan nama dari mata kuliah dengan kode yang diawali huruf FIK",TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
tolong cari kode dari mata kuliah dengan nama kalkulus,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}]"
Berapa jumlah SKS untuk mata kuliah dengan nama kalkulus ?,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
Temukan kode mata kuliah dengan nama kalkulus,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
Temukan kode mata kuliah dengan nama Probabilitas dan Statistika,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
Tampilkan sks pada mata kuliah dengan nama kalkulus,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
Sebutkan kode dari mata kuliah pengolahan citra,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
sebutkan mata kuliah pilihan pada semester 5,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
sebutkan mata kuliah pilihan pada semester 7,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
"sebutkan nama, dan sks mata kuliah pilihan pada semester 2",TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
Apa saja mata kuliah pilihan yang bisa diambil pada semester 6 ?,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
Apa nama dan sks mata kuliah dengan kode FIK20022 ?,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
Apa nama mata kuliah dengan kode FIK23222 ?,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
tampilkan sks mata kuliah dengan nama SKRIPSI,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}]"
tampilkan data mata kuliah,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999997615814209}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999997615814209}]"
Tolong temukan daftar mata kuliah,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
sebutkan daftar nama mata kuliah dengan nama yang mengandung kata android,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}]"
sebutkan daftar nama mata kuliah dengan nama yang mengandung kata game,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}]"
sebutkan daftar nama mata kuliah dengan nama yang mengandung kata web,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999999403953552}]"
semester berapakah mata kuliah dengan nama mengandung kata kp,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
semester berapakah mata kuliah dengan nama mengandung kata skripsi,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
carikan data mata kuliah dengan kode FIK002317,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
Temukan nama matakuliah yang memiliki Kode FIK001XXX,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
lihat kode matakuliah yang bernama alpro,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 1.0}, {'name': 'TanyaMataKuliah', 'confidence': 1.0}]"
tampilkan data daftar mk,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999982118606567}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999982118606567}]"
